model_name,model_type,updated,downloaded,liked,model_url,app_list,total_app,app_sizes_in_bytes
nlptown/bert-base-multilingual-uncased-sentiment,Text Classification,Jul 27,1.96M,207,https://huggingface.co/nlptown/bert-base-multilingual-uncased-sentiment,"['CK42/sentiment-model-comparison', 'EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros', 'awacke1/Daredevil-Text-Generation', 'AE-NV/sentiment-productreview', 'SamiAlghamdi/FirstEver', 'BulatF/StreamlitSentiment', 'Sudhanshu976/NLP_FULL_APP', 'kmanoj/Sentiment_Analysis', 'utec/Manuel2002', 'kennyhelsens/mlux-feedback-tally', 'Wootang01/sentiment_analyzer_3', 'snoopy731/Goodreads-Score', 'nikhil567/book-recommend-review-system', 'HamidBekam/Test_DeployingHFMs_Gradio', 'junming-qiu/toxic-tweets-milestone-2', 'juliaannjose/SentimentAnalysis', 'Samp007/Sentiment-analysis-app', 'slachitoff/CS-GY_6613_Project', 'corykhal/AI-project', 'Sixty9/TA3', 'Sixty9/TA4', 'Sixty9/TA5', 'Sixty9/TA6', 'ShadowDominator/feedback-sentiment-analysis', 'ShadowDominator/sentiment-analysis', 'mohanchinnappan/senti', 'After-the-Dark/sentiment-analysis', 'Matt-CB/TwitterAccountAnalyzer', 'VeyVey/CovidSentiment', 'VeyVey/Predict_Weather', 'Sixty9/TA7', 'Sixty9/Sixth_Sense', 'patel18/sentiment_analysis', 'santireyg/memeficador', 'Shweta0801/demo-app-text-sentiment-analysis', 'joey1895/nlptown-bert-base-multilingual-uncased-sentiment', 'Chris4K/chained', 'kitakitune/spaces0703', 'Krupa049/Milestone-2', 'CosmoAI/CosmoS', 'alexanderander30/nlptown-bert-base-multilingual-uncased-sentiment', 'Sixty9/SixthSense', 'Abdel/nlptown-bert-base-multilingual-uncased-sentiment', 'GroNLP/LM-Explanation-Demo', 'TensorBoyML/Lucky-Pika', 'Sowmya1022/nlptown-bert-base-multilingual-uncased-sentiment', 'ans123/nlptown-bert-base-multilingual-uncased-sentiment', 'LeireTedCas/QUIROHELP_WEB_v1', 'rohanvetale/sent1', 'taimoor61/classification', '7jimmy/textclassificationbysharjeel', '7jimmy/textclassificationbyjiimy']",52,"[4970.2, 13619.52, 4785.88, 3111.2, 221716.32, 11688.44, 4207.76, 6653.52, 1630.08, 3851.92, 2040.08, 2542.52, 10086.759999999998, 2743.52, 35625.880000000005, 2828.76, 3000.88, 3924.2, 5409.719999999999, 3916.92, 3919.16, 3921.16, 4062.52, 3647.48, 5538.12, 5528.639999999999, 5538.12, 12399.6, 2404.52, 3280.8, 4090.52, 4146.2, 3505.6, 3489.36, 2039.48, 1963.48, 17816.48, 2232.48, 697033.48, 9120.44, 1930.48, 4365.48, 1929.48, 1477584.9399999997, 3486.6, 1932.48, 1930.48, 127227.08, 6653.52, 2748.48, 2709.48, 2998.2]"
ProsusAI/finbert,Text Classification,May 23,1.72M,391,https://huggingface.co/ProsusAI/finbert,"['IoannisTr/Tech_Stocks_Trading_Assistant', 'sbhatti2009/stock-analysis', 'Shredder/CONBERT-3', 'EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros', 'amgross01/Stocks_Trading_Assistant', 'darthPanda/Social_media_sentiment_tracker', 'sohomghosh/FinLanSer_Financial_Language_Simplifier', 'Shredder/CONBERT-2', 'sohomghosh/FLUEnT', 'sohomghosh/FinRead', 'rajistics/interpet_transformers', 'Shredder/CONBERT', 'ESG-TFM-UV/ESG_API_BATCH', 'Swindu/ProsusAI-finbert', 'awacke1/HEDIS.Dash.Component.Top.Clinical.Terminology.Vocabulary', 'talaa/Financial-sentiment-news-analysis', 'TrungTech/finBert', 'kudoshinichi/hf-sentiment-models', 'mixcard/text-finbert', 'vives/bert_cvent_top_k_sim', 'husnu/ASR_to_QA', 'Shredder/Prototype', 'Shredder/Sample', 'kandy/Lab_stat', 'wiraindrak/financial-sentiment-classification-indonesia', 'wuwu1/ProsusAI-finbert', 'darthPanda/SentimentAnalysisTool', 'ateliershen/ProsusAI-finbert', 'kelvinleong/Kt-Demo-Text_classifier-2', 'ac8736/sentiment-analysis-app', 'miknad2319/CS485-Milestone-2', 'Pruthul/CS482-104-Milestone2', 'slachitoff/CS-GY_6613_Project', 'huangtianba/ProsusAI-finbert', 'JKJanosko/Toxicity-Analysis', '2gauravc/ProsusAI-finbert', 'kya5/CS482-Milestone2', 'flexcupVcomka/Kt-Demo-Text_classifier-2', 'Ntabukiraniro/Finance', 'daramaccoille/ProsusAI-finbert', 'teragron/ekmek', 'Himanshusingh/sec_sentiment_analysis', 'manvik28/SEC_Sentiment_Analysis', 'asungajinli/ProsusAI-finbert', 'TrungTech/Financial_Sentiment_Analysis_with_BERT', 'kp03/finBert', 'davissong01/financial-sentiment-analysis', 'nsjzg/ProsusAI-finbert', 'justlookup/ProsusAI-finbert', 'alexpaul/ProsusAI-finbert', 'JaCrispy35/financial_sentiment_analysis_advisor']",51,"[38157.36, 9630.56, 35289.97, 13619.52, 38186.12, 23356.12, 9743.36, 35248.01, 22595.450000000004, 634166.24, 6308.599999999999, 35512.25, 23345.38, 1825.52, 29149.32, 16775.04, 15575.56, 2510.48, 1863.48, 11517.29, 6807.92, 72226.89, 35972.05, 2127.16, 6898.08, 1787.52, 34429.72, 1828.52, 2432.52, 96698.16, 5105.08, 3393.76, 3924.2, 1824.52, 150526.52, 1846.52, 2718.52, 134613.24000000002, 4443.14, 1824.52, 5174.96, 68093.28, 14019.08, 1865.48, 9743.36, 16224.96, 2435.48, 1866.48, 1866.48, 1854.48, 5472.4400000000005]"
cardiffnlp/twitter-roberta-base-sentiment-latest,Text Classification,May 28,1.63M,268,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest,"['zama-fhe/encrypted_sentiment_analysis', 'jmparejaz/Audio_to_text_classification', 'tinkoff-ai/caif', 'Margaret/mazzuma-sentiment-engine', 'rizam/rakeeb_text-classification', 'poiiii/clefourrier-graphormer-base-pcqm4mv1', '834188divi/cardiffnlp-twitter-roberta-base-sentiment-latest', 'ThankGod/text-classification', 'rizam/rakeeb_tweet_sentiment', 'bradarrML/encrypted_sentiment_analysis', 'mattaylor/embedding', 'FrancescoBerg/cardiffnlp-twitter-roberta-base-sentiment-latest', 'dajayk12/cardiffnlp-twitter-roberta-base-sentiment-latest', 'dvilasuero/gradio-argilla-logger', 'Daniton/cardiffnlp-twitter-roberta-base-sentiment-latest', 'Daniton/cardiffnlp-twitter-roberta-base-sentiment-latestd', 'Daniton/cardiffnlp-twitter-roberta-base-sentidment-latestd', 'Daniton/cardiffnlp-twitter-roberta-based-sentidment-latestd', 'Daniton/cardiffnlp-twitter-robertam-based-sentidment-latestd', 'Daniton/cardiffnlp-twitter-robertam-based-sentiddment-latestd', 'Daniton/cardiffnlp-twitter-drobertam-based-sentiddment-latestd', 'Daniton/cardiffnlp-twitter-drobertam-basedd-sentiddment-latestd', 'lsacy/menduChat', 'quni/cardiffnlp-twitter-roberta-base-sentiment-latest', 'cscan/Audio_to_text_classification', 'pranjal065/process_fest', 'JulianHame/sentiment-analysis-app', 'Pruthul/CS482-104-Milestone2', 'alpha-hp/twitter-s', 'alpha-hp/cardiffnlp-twitter-roberta-base-sentiment-latest', 'metaknightccc/sentiment-analysis-app', 'JKJanosko/Toxicity-Analysis', 'kya5/CS482-Milestone2', 'bobrooos/cardiffnlp-twitter-roberta-base-sentiment-latest', 'zox47/cardiffnlp-twitter-roberta-base-sentiment-latest', 'MikeJeong/CS482-FineTune', 'MikeJeong/CSProject', 'MikeJeong/apppp', 'KunaalNaik/SentmentAnalysis_HF1', 'Mahipal/nlp_dashboard', 'rphrp1985/text-sentiment-1', 'prlabs2023/text-sentiment-1', 'Dranities/chatbots', 'TestSpace/cardiffnlp-twitter-roberta-base-sentiment-latest', 'TestSpace/cardiffnlp-twitter-roberta-base-sentiment-latest-gradio', 'AIConsultant/sentiment-analysis-system', 'dilums/twitter-sentiment', 'salmanmoh/cardiffnlp-twitter-roberta-base-sentiment-latest', '10isha/cardiffnlp-twitter-roberta-base-sentiment-latest', 'PradeepKumar11519/1stspace', 'saipranaydeep/demo', 'miscjose/Data-Annotation-Tool', 'sotirios-slv/cardiffnlp-twitter-roberta-base-sentiment-latest', 'dai152/1', 'Fatima33/cardiffnlp-twitter-roberta-base-sentiment-latest', 'springchill/cardiffnlp-sentiment', 'data2science/cardiffnlp-twitter-roberta-base-sentiment-latest', 'wsaults/cardiffnlp-twitter-roberta-base-sentiment-latest', 'umair894/hamri-sumerization-wali-app', 'dx1/cardiffnlp-twitter-roberta-base-sentiment-latest', 'nyangasi/Twitter_Sentiment_Analysis_App', 'farooq-09/cardiffnlp-twitter-roberta-base-sentiment-latest', 'subhannadeem1/Audio_to_text_classification', 'HimanshuA/Space']",64,"[72902.31999999999, 5603.35, 28855.16, 2009.08, 3553.52, 2190.52, 1931.48, 3507.52, 1878.52, 74530.04, 2904.52, 1890.52, 1888.52, 2939.12, 1890.52, 1964.52, 1965.52, 1966.52, 1967.52, 1968.52, 1969.52, 1970.52, 154838.12, 1905.52, 5647.35, 8262.0, 2317.56, 3393.76, 2031.52, 1891.52, 19061.680000000004, 150526.52, 2718.52, 1890.52, 1888.52, 5849.56, 3440.64, 3354.48, 2834.52, 18048.88, 70134.95999999999, 70135.95999999999, 28553.4, 1934.48, 1937.48, 9156.88, 2520.48, 1947.48, 1928.48, 1899.48, 1897.48, 9136.08, 1929.48, 2009.48, 1931.48, 1904.48, 1931.48, 1949.48, 2321.48, 1928.48, 3750.88, 1949.48, 5418.16, 2090.48]"
martin-ha/toxic-comment-model,Text Classification,"May 6, 2022",1.17M,32,https://huggingface.co/martin-ha/toxic-comment-model,['lu2000luk/toxic'],1,[1907.52]
cardiffnlp/twitter-xlm-roberta-base-sentiment,Text Classification,Jul 19,1.13M,152,https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base-sentiment,"['g8a9/ferret', 'kyled/PhraseSentimentEmotionAnalysis', 'imperialwool/funapi', 'Sudheer/Pandavas3.0', 'msalazark/cardiffnlp-twitter-xlm-roberta-base-sentiment', 'junming-qiu/toxic-tweets-milestone-2', 'magnolia-psychometrics/item-desirability-demo', 'Pruthul/CS482-104-Milestone2', 'Ariel8/sentiment-analysis', 'sm2899/sentiment-analysis', 'thotranexe/milestone2', 'Ariel8/Toxic-Tweets', 'kya5/CS482-Milestone2', 'zox47/cardiffnlp-twitter-xlm-roberta-base-sentiment', 'unaiolaizola/analisis_metacognitivo', 'psycen/cardiffnlp-twitter-xlm-roberta-base-sentiment', '834188divi/cardiffnlp-twitter-xlm-roberta-base-sentiment', 'holistic-ai/emotion-recognition']",18,"[13480.32, 3025.36, 8174.92, 37262.96000000001, 1885.52, 35625.880000000005, 601915.2400000001, 3393.76, 2319.72, 1959.8, 1696.28, 38301.4, 2718.52, 1882.52, 712845.9600000001, 1881.52, 1927.48, 4001.88]"
koheiduck/bert-japanese-finetuned-sentiment,Text Classification,"Dec 20, 2022",816k,10,https://huggingface.co/koheiduck/bert-japanese-finetuned-sentiment,[],0,[]
savasy/bert-base-turkish-sentiment-cased,Text Classification,Jun 22,742k,21,https://huggingface.co/savasy/bert-base-turkish-sentiment-cased,"['savasy/SentimentHistogramForTurkish', 'savasy/Twitter2SentiForTurkish', 'alperbayram/Duygu_Analizi', 'Hasangzc/TurkishNLP_Try', 'Bedirhan/bitirme-proje', 'Melis/MySpaceName', 'memojja/sentiment-analysis-example', 'maliaydemir/news-generator', 'onuraycicek/firstai', 'fatihdemirci88/test01', 'Murat62/muratduyguanalizi', 'Murat62/murat62duyguanalizi', 'furkinofaso/First_Training', 'melihsafaozbek/sentimentanaliz', 'Hediye/huggingface_deneme', 'AliNail/Koc', 'serdar2nc/kedi', 'Notfear/irfan_yildirim', 'nuribaba27/proje_1']",19,"[62291.84, 3957.32, 2013.08, 2039.08, 10534.28, 2190.16, 2353.52, 2324.52, 2332.52, 2333.52, 2506.48, 2385.48, 2379.48, 2382.48, 2385.48, 2373.48, 2361.48, 2381.48, 2372.48]"
j-hartmann/emotion-english-distilroberta-base,Text Classification,Jan 2,681k,251,https://huggingface.co/j-hartmann/emotion-english-distilroberta-base,"['ja-818/speech_and_text_emotion_recognition', 'j-hartmann/emotion-classification-from-csv', 'j-hartmann/emotion-similarity', 'gshotwell/multi-query-sentiment', 'jitesh/storytelling', 'awacke1/CSV2ClassifyVisualization', 'awacke1/CSVSentiment', 'lRoz/j-hartmann-emotion-english-distilroberta-base', 'elitecode/Detect_Emotions', 'abrar-adnan/speech-analyzer', 'awacke1/HEDIS.Dash.Component.Top.Clinical.Terminology.Vocabulary', 'poiiii/clefourrier-graphormer-base-pcqm4mv1', 'jpdiazpardo/jpdiazpardo-whisper-tiny-metal', 'samueldomdey/Emotion', 'asingh6/patient-sentiment-analysis', 'Puree/Lab_10', 'Guynaris/Lab10_620510564', 'n4th/nlp-reviews', 'Ozziey/emotion-classifier-from-string', 'CutieDev/j-hartmann-emotion-english-distilroberta-base', 'asdadaa/j-hartmann-emotion-english-distilroberta-base', 'leolinardi/j-hartmann-emotion-english-distilroberta-base', 'darthPanda/SentimentAnalysisTool', 'kahvem/aisense', 'utkarsh95m/j-hartmann-emotion-english-distilroberta-base', 'huzw1995/j-hartmann-emotion-english-distilroberta-base', 'Pruthul/CS482-104-Milestone2', 'dk3156/sentiment_analysis_app', 'dbleek/cs-gy-6613-project', 'jlaf01/sentiment-analysis-app', 'xingxing12/j-hartmann-emotion-english-distilroberta-base', 'whitphx/streamlit-multi-query-sentiment-analysis', 'dperales/ITACA_Insurance_Core_v4', 'JKJanosko/Toxicity-Analysis', 'kya5/CS482-Milestone2', 'danielperales/ITACA_Insurace_NLP_v2', 'dbleek/cs-gy-6613-project-final', 'Suzana/text_basic_emotions', 'aradWrhotshi/multi-query-sentiment', 'Alesmikes/speech_and_text_emotion_recognition', 'ShadowDominator/emotion-classification', 'ShadowDominator/sentiment-analysis', 'mohanchinnappan/senti', 'After-the-Dark/sentiment-analysis', 'devanshsrivastav/GoEmotions', 'SudhanshuBlaze/EmoDash', 'qnbhd/dp-dialogs-21', 'devanshsrivastav/goemotions2', 'miscjose/Data-Annotation-Tool', 'YaraKyrychenko/BERTinsights', 'vijaypq/pythonquants.ai', 'vijaypq/speechrecognition_summary_sentiment_analysis', 'dawng88/sachacks2023']",53,"[13348.44, 5953.28, 5178.68, 6931.4, 5328.08, 12742.36, 6551.12, 1881.52, 1954.52, 11851.78, 29149.32, 2190.52, 10047.56, 5548.4, 3881.480000000001, 2359.16, 2183.16, 17994.5, 2209.52, 1884.52, 1884.52, 1880.52, 34429.72, 3345.7200000000003, 1883.52, 1882.52, 3393.76, 14220.48, 174242.2, 21426.04, 1902.52, 3119.7200000000003, 256382.87999999995, 150526.52, 2718.52, 256432.87999999995, 285660.68, 1846.16, 99294.0, 13402.44, 2728.52, 5538.12, 5528.639999999999, 5538.12, 11548.84, 12373.28, 3643.29, 11548.84, 9136.08, 23698.4, 3584.48, 5404.48, 2160.48]"
microsoft/deberta-large-mnli,Text Classification,"May 21, 2021",677k,8,https://huggingface.co/microsoft/deberta-large-mnli,['liuhaozhe6788/CelebChat'],1,[66736.0]
papluca/xlm-roberta-base-language-detection,Text Classification,21 days ago,559k,163,https://huggingface.co/papluca/xlm-roberta-base-language-detection,"['juancopi81/multilingual-stable-diffusion', 'team-language-detector/LanguageDetector', 'poiiii/clefourrier-graphormer-base-pcqm4mv1', 'Msp/langauge_identifier', 'Msp/lang_id_flask', 'Felixogunwale/Convenant-language-detection', 'dperales/ITACA_Insurance_Core_v4', 'JKJanosko/Toxicity-Analysis', 'danielperales/ITACA_Insurace_NLP_v2', 'Chris4K/YAT', 'astrojuanlu/kedro-test-gradio', 'Demosthene-OR/avr23-cds-translation']",12,"[14331.52, 3682.32, 2190.52, 11556.88, 11424.36, 1865.52, 256382.87999999995, 150526.52, 256432.87999999995, 6578.08, 2474.48, 9509.48]"
Seethal/sentiment_analysis_generic_dataset,Text Classification,"Apr 19, 2022",523k,20,https://huggingface.co/Seethal/sentiment_analysis_generic_dataset,"['Tihsrah/Hinglish-Text-Normalizer', 'codered/Seethal-sentiment_analysis_generic_dataset', 'MJ3128/CS-GY-6613-Project', 'Dakuso/Seethal-sentiment_analysis_generic_dataset', 'juliaannjose/SentimentAnalysis', 'sachiniyer/toxic-tweets', 'slachitoff/CS-GY_6613_Project', 'notbhu/toxic-tweets', 'D001/Seethal-sentiment_analysis_generic_dataset', 'I2C-UHU/test-app', 'djaaiin93/Seethal-sentiment_analysis_generic_dataset']",11,"[10691.38, 1875.52, 213201.16, 1876.52, 2828.76, 12637.72, 3924.2, 4048.4, 1875.52, 1981.52, 1917.48]"
cardiffnlp/twitter-roberta-base-offensive,Text Classification,"Nov 28, 2022",457k,11,https://huggingface.co/cardiffnlp/twitter-roberta-base-offensive,['Greys/milstone2'],1,[344509.12]
