app_name,size
microsoft/HuggingGPT,88343.64
society-ethics/model-card-regulatory-check,9619.24
optimum/optimum-benchmark-ui,142854.32
nazneen/interactive-model-cards,229976.2
ccolas/TastyPiano,15153.16
ANDRYHA/FakeNewsClassifier,88530.16
nazneen/seal,38993.92
taesiri/HuggingGPT-Lite,92467.51999999999
CK42/sentiment-model-comparison,4970.2
EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros,13619.52
nazneen/error-analysis,32645.0
fxmarty/bettertransformer-demo,113832.48
echarlaix/openvino-export,45299.08
autoevaluate/error-analysis,31826.8
tinkoff-ai/caif,28855.159999999996
chinhon/Speech_Sentiment_Analysis,5089.48
butterswords/nlc-explorer,58838.64
kyleledbetter/responsibleGPT,21989.920000000002
Olivernyu/sentiment_analysis_app,9372.12
Uvini/Hotel-Reviews,13418.61
Endre/SemanticSearch-HU,14109.759999999998
abidlabs/call-sentiment-blocks-2,100120.08
greco/survey_analytics_spaces,71083.48000000001
rajistics/interpet_transformers,6308.599999999999
codesue/dystopedia,15909.880000000001
TangibleAI/mathtext,45285.23999999999
abrar-adnan/speech-analyzer,11851.78
kingsotn/tt-ai,119363.96
ccarr0807/HuggingGPT,86921.0
emmaenglish/sentiment-analysis-of-text-app,95936.0
AiPalsDev/Translate_It,4624.280000000001
theholycityweb/HuggingGPT,87559.68
Sohaibahmad/AIdetector,2663.52
contluForse/HuggingGPT,179643.2
Alfasign/HuggingGPT-Lite,92508.51999999999
saurshaz/HuggingGPT,87928.31999999999
ivyblossom/sentiment-analysis,1888.08
Visgift/nyami,3838.76
Fouzia/Harvard-USPTO_Patentability-Score,2949.2
gourib/llama_demo,6119.96
iabualhaol/pdfchat,3416.48
kudoshinichi/hf-sentiment-models,2510.48
chinhon/sentiment_structure_visualiser,5933.76
justheuristic/ysda-demo,2700.08
ayse/sentiment-classifier,3360.76
husnu/ASR_to_QA,6807.92
ombhagwat24/senti,2116.08
Saurav21/Sentiment-Analysis,2287.08
anonymous8/Rapid-Textual-Adversarial-Defense,23192.379999999997
pattawat/stat_ds__02,2155.16
Jindong/test123,10484.08
Booguy/linguask,307006.16
fabiochiu/sentiment-analysis-demo,3520.64
mattaylor/embedding,2904.52
ucd-fs/sentiment-analysis,2514.52
madani/space1,2032.52
madani/streamlit1,2388.52
pngwn/sentiment-analysis-demo,3571.64
Rimi98/ReviewClassifier,2692.82
awacke1/TorchMLTrainerStreamlit,4746.4
kelvinleong/Kt_Demo_Text-Classification,2454.52
kelvinleong/Kt-Demo-Text_classifier,2454.52
ac8736/sentiment-analysis-app,96698.16
JulianHame/sentiment-analysis-app,2317.56
cfsandu/OnLineSentimentAnalysis,2685.64
mariasandu/sentiment-analysis-of-a-tweet,75810.64
sergey-hovhannisyan/toxic-tweets,46949.88
sihanasaku/SentimentAnalysisApp,876.0
sachiniyer/toxic-tweets,12637.72
miknad2319/CS485-Milestone-2,5105.08
Soruki/Sentiment-analyzer,2192.52
Keshavp08/sentiment-analysis-app,3259.64
Jainesh212/Sentiment_Ana,3285.6
andyqin18/sentiment-analysis-app,19491.24
keaneu/HuggingGPT,85323.56
aim9061/sentiment-analysis,268220.24
viscosity/HuggingGPT,85856.04
Michael54546/milestone2,932.0
Hrithikka/sentiment-analysis,2388.52
davidchiii/toxic-tweets,349050.43999999994
slachitoff/CS-GY_6613_Project,3924.2
Kev07/Toxic-Tweets,90548.72
dk3156/sentiment_analysis_app,14220.48
Mcdof/HuggingGPT,86265.63999999998
VarshithaCh/sentiment-analysis-app,2126.16
rd448/sentiment-analysis-streamlit,1537.16
BMukhtar/BMA,89495.16
chrisW6825/HuggingGPT,86921.0
Shenziqian/HuggingGPT,86921.0
lokutus/HuggingGPT,86921.0
mimiqiao/HuggingGPT,86921.0
arpachat/sentiment-analysis,3879.92
tsgbalakarthik/HuggingGPT,86921.0
Rathgeberj/CS-UY4613Project,619690.3600000001
wowochkin/HuggingGPT,86921.0
Msp/HuggingGPT,86921.0
notbhu/toxic-tweets,4048.4
v-nemala/sentiment-analysis,457243.99999999994
CodyJiang/text-sentiment-analysis-app,1494.32
oscarvel821/sentiment-analysis-app,10584.68
mohdAkibUddin/sentiment-analysis-application,185514.0
dbleek/cs-gy-6613-project,174242.2
jlaf01/sentiment-analysis-app,21426.04
RobCaamano/Finetuning_Language_Models-Toxic_Tweets,8171.52
Ptato/Sentiment-Analysis,30588.120000000003
metaknightccc/sentiment-analysis-app,19061.680000000004
Rafarod513/sentiment-analysis-cs482,1416.0
medelharchaoui/sent_app,2611.52
ryan12439/HuggingGPTpub,86921.0
FANCHIYU/HuggingGPT,86921.0
Betacuckgpt/HuggingGPT,86921.0
cashqin/HuggingGPT,86921.0
felixfriday/MICROSOFTT_JARVIS_HuggingGPT,86921.0
Meffordh/HuggingGPT,86969.0
lzqfree/HuggingGPT,87283.2
bountyfuljr/HuggingGPTplaypublic,87426.56
mearjunsha/HuggingGPT,87662.07999999999
turbowed/HuggingGPT,87662.07999999999
Chokyounghoon/HuggingGPT,87662.07999999999
lollo21/Will-GPT,87662.07999999999
Pfs2021Funny/HuggingGPT,87662.07999999999
irritablebro/HuggingGPT,87662.07999999999
julianna-fil/EmotionApp,202635.56
MagKoz/HuggingGPT,87662.07999999999
zhangdream/HuggingGPT,87662.07999999999
sepo96/sentiment_analysis,4778.04
gefedya/YSDA_transfprmers_nlp_ops,51496.659999999996
calliber/HuggingGPT,87559.68
Pitak/HuggingGPT,87559.68
gaocegege/HuggingGPT,87559.68
apgarmd/jarvis,87790.87999999999
apgarmd/jarvis2,87559.68
mukulnag/HuggingGPT1,87825.91999999998
lugifudun/HuggingGPT,87825.91999999998
leadmaister/HuggingGPT,88048.19999999998
pors/HuggingGPT,87825.91999999998
vs4vijay/HuggingGPT,87825.91999999998
AhmedFaisal/milestone-3,6944.24
mariasandu/detecting-toxic-tweets,76051.64
mariasandu/toxic-comment-app,76065.64
mckeeboards/HuggingGPT,87825.91999999998
Mcdimmy/testing,2262.52
JKJanosko/Toxicity-Analysis,150526.52
v-nemala/toxic-comment-classification,456821.83999999997
cdb24/Milestone3,3526.6400000000003
CodyJiang/Finetuning-Sentiment-Analysis-App,3000.4
mastere00/JarvisMeetsProfessor,87825.91999999998
passthebutter/HuggingGPT,87825.91999999998
manu1435/HuggingGPT,87825.91999999998
rafaelcalleja/HuggingGPT,87825.91999999998
NaamanSaif/HuggingGPT,87825.91999999998
VarshithaCh/patentability,249837.08
dbleek/cs-gy-6613-project-final,285660.68
CollaalloC/HuggingGPT,87825.91999999998
dwolfe66/HuggingGPT,87825.91999999998
xian-sheng/HuggingGPT,87825.91999999998
Aygtljl518866/HuggingGPT,87825.91999999998
Hemi1403/HuggingGPT,87825.91999999998
trhacknon/HuggingGPT,87825.91999999998
Vito99/HuggingGPT-Lite,92600.68
EinfachOlder/HuggingGPT-Lite,92599.68
diadeMniaso/SentimentAnalysisApp,158495.8
aus10powell/test,9961.32
glrh11/distilbert-base-uncased-finetuned-sst-2-english,2231.52
sumitdas1984/gradio-sentiment-analyzer,2301.52
innovativeillusions/HuggingGPT,87825.91999999998
snowc2023/simple-sentiment-analyzer,3802.8
Bonosa2/SentimentAnalysis,2728.52
yashaswini278/sentiment_analysis,2774.52
VeyVey/PredictIncome,3526.56
vasevooo/NLP_project,11776.0
jignasha/Sentiment_Analysis,9396.32
kefkefkefkef/imdb2,350076.2799999999
Elliot-AIGC/Sentiment_classification_by_Elliot,2244.52
ylavie/HuggingGPT3,88010.23999999999
ylavie/HuggingGPT-Lite,92508.51999999999
lokraj2/sequencer,2611.48
Chris4K/chained,17816.48
CCYAO/HuggingGPT,87928.31999999999
SumanthKarnati/KnowTheText,5400.0
mvasani/mysentimentapp,3581.88
mvasani/trial_space,5123.68
Krupa049/Milestone-2,697033.48
dcams/HuggingGPT,87928.31999999999
coolkrishds/app_demo2,2994.3199999999997
ahmedalrashedi/demo,2580.48
cpereira/ai-marketplace,15135.08
cndavy/HuggingGPT,87928.31999999999
nextgenai/myspace-1,2667.48
Pranjal12345/SentimentAnalysis,2782.48
GroNLP/LM-Explanation-Demo,1477584.9399999997
Ankush05/Code8,2105.48
TensorBoyML/Lucky,3377.7200000000003
deniandriancode/simple-sentiment-analysis-pipeline,2200.48
iabualhaol/test_sent,2512.48
Bayhaqy/Classification-News-Analysis-and-Prediction,2502.48
SSHAMZZ/Host_trial_1,16684.68
pattawat/hh,2313.48
640510702phithak/Text_Generator,2339.48
640510702phithak/Sentiment-Analysis,2394.48
ZackBradshaw/omni_bot,71019.4
atrifat/tt-ai,119362.96
atrifat/hate-speech-test-api,5847.88
pjeena/Customer-Insights,13711.88
sujit2050/learning,2300.48
scademy/distilbert-sentiment-analysis,6279.52
Interactive-Coventry/IVR__demo,9739.92
mokshdudeja/FakeNewsClassifier_by_Moksh_and_pooja,88516.20000000001
Eberhenriquez/cardiffnlp-twitter-roberta-base-irony,1927.48
sohomghosh/FLUEnT,22595.450000000004
Anthos23/hummus,2607.92
nikoifirewall/First_shot_gradio_covid_sentiment_analysis,4103.88
slachitoff/CS-GY_6613_Project,3924.2
saccharinedreams/sentiment-analysis-app,44807.6
Alejandrapulidoa/PriceScopev2,121958.84
Alejandrapulidoa/finetuned-financial-news-sentiment-analysis,4422.96
shekolla/finbert-financial-sentiment,9131.880000000001
ellyothim/first_shot_sentiment_analysis,3815.88
ellyothim/First_shot_gradio_covid_sentiment_analysis,4033.88
Jamal914/First_shot_gradio_covid_sentiment_analysis,4103.88
Mavrck307/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis,1965.48
jboyerjr/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis,1969.48
Ahmad-Moiz/classification-Sentiment,3215.88
jingwora/language-emotion-classification-sentiment-ja,4370.5599999999995
storresbusquets/demo1,21825.760000000002
miscjose/Data-Annotation-Tool,9136.08
storresbusquets/llm-demo1,25861.079999999998
AndresAlejandro/demo1,22069.56
AndresAlejandro/llm-demo1-finalfinal,25680.28
storresbusquets/tfm-media-insights,28015.48
alexvaroz/sentiment_analysis_pt,2311.48
DanyaalMajid/NLP-Q2,5663.719999999999
syedabdullah32/sentiments-student,1900.48
Pontonkid/Real-Time-Multilingual-sentiment-analysis,6954.07
muneebashraf/Visual-Sentiment-Analyzer,3583.2799999999997
Vadala/SamLowe-roberta-base-go_emotions,1888.48
noelfranthomas/Cratic_test,6157.48
feierdun/SamLowe-roberta-base-go_emotions,1917.48
rbyat/Immortal-Beloved,69162.72
exogenous/Real-Time-Multilingual-sentiment-analysis,7033.31
yilin1344/my_first_space,2140.48
coffeebeans-ai/audio_sentiment_analysis,12049.03
detian/SamLowe-roberta-base-go_emotions,1897.48
Subhanshu999999/movie-sentiment-analysis,952813.4200000002
TIXTPCOA/SamLowe-roberta-base-go_emotions,1897.48
Zigzagindia/electron_asr,6808.03
LimKopi/Whisper-Audio-Analysis,46182.08
agkbv/SamLowe-roberta-base-go_emotions,1918.48
WeiHan123/Audio-Analysis,86009.59999999999
djdipt/SIH-docker-backend,4510.5599999999995
mfernezir/SentimentAnalysis,2411.48
kaungmyat/SamLowe-roberta-base-go_emotions,1899.48
rayespinozah/project.audio.sentiment,7563.299999999999
Maryam-1/SamLowe-roberta-base-go_emotions,1901.48
thocky/LLMProjects,2778.48
Maryam-1/emotions_classification,1890.48
attaelahi/Emotion-Detection,3900.48
blobcurry/test1234,2040.48
Maryam-1/Project-1,3329.52
testDS/SamLowe-roberta-base-go_emotions,1907.48
DanyaalMajid/NLP-Q2,5663.719999999999
miesnerjacob/Multi-task-NLP,33132.920000000006
Jayeshbhaal/news_filter_for_social_wellbeing,394125.4
aus10powell/TwitterAccounts,16138.0
Olivernyu/sentiment_analysis_app,9372.12
johnowhitaker/twitter_viz,6064.799999999999
pouchedfox/SP,8409.04
Mohit-321/WhatsappchatAnalyzer,21669.16
kajalag/Whatsapp_Chat_Analyzer,21669.16
Bedirhan/bitirme-proje,10534.28
pouchedfox/Sen,9780.2
euvieeugenio/textclassification_demo_app,2732.52
varunkuntal/twitter-roberta-base-sentiment,1866.52
furquan/TwitterSentimentAnalysisRoberta,356603.08
edusei/sentiment,14092.96
Captainlongshort/TwitterSentiment,1866.52
ac8736/sentiment-analysis-app,96698.16
MJ3128/CS-GY-6613-Project,213201.16
sethlxk/milestone2,3344.0
sihanasaku/SentimentAnalysisApp,876.0
juliaannjose/SentimentAnalysis,2828.76
EmirLise/sentiment_analysis,1418.08
arianasutanto/milestone2,2875.2
miknad2319/CS485-Milestone-2,5105.08
andyqin18/sentiment-analysis-app,19491.24
dahongj/sentiment-analysis,86183.88
slachitoff/CS-GY_6613_Project,3924.2
Kev07/Toxic-Tweets,90548.72
VarshithaCh/sentiment-analysis-app,2126.16
jbraha/aiproject,594777.92
notbhu/toxic-tweets,4048.4
simon-kurbiel/sen-analysis,1696.52
simon-kurbiel/Sentiment-Analysis,3221.04
Ptato/Sentiment-Analysis,30588.120000000003
saccharinedreams/sentiment-analysis-app,44807.6
AaronBarbosa/twitter_sentiment,471484.80000000005
xingxing12/cardiffnlp-twitter-roberta-base-sentiment,1893.52
dperales/ITACA_Insurance_Core_v4,256382.87999999995
jeromechew15/milestone2,3350.0
rk2546/csgy-6613-project-rk2546,30787.6
EmirLise/Toxic_Clasifier,6256.4
JKJanosko/Toxicity-Analysis,150526.52
simon-kurbiel/tweet-toxicity,1773.52
rbbotadra/toxicity-analyzer-app,296719.52
danielperales/ITACA_Insurace_NLP_v2,256432.87999999995
VarshithaCh/patentability,249837.08
HarshAI/Dual_Model_Sentiment_Analyzer,3772.12
diadeMniaso/SentimentAnalysisApp,158495.8
SaraHossam/SentimentAnalysis,2794.76
Mohit-321/Whatsapp_Chat_Analyzer,21659.16
nassga/Toxic_tweets_analizer,3105.0
k-varma/tweet-sentiment-analysis,3202.16
HOLYBOY/Sentiment_Analysis_App,32581.199999999997
asungajinli/cardiffnlp-twitter-roberta-base-sentiment,1919.48
lokesh6361/analysis,2559.48
benmanks/Sentiment-app,3811.3199999999997
jatinjaglan/wca,22829.480000000003
